state,county,tract,bg,geoid,puma
4,13,610700,1,40136107001,400112
4,13,610700,3,40136107003,400112
4,13,610700,4,40136107004,400112
4,13,30401,1,40130304011,400112
4,13,30401,2,40130304012,400112
4,13,30401,3,40130304013,400112
4,13,30402,1,40130304021,400112
4,13,30402,2,40130304022,400112
4,13,30402,3,40130304023,400112
4,13,216822,1,40132168221,400112
4,13,216822,2,40132168222,400112
4,13,216822,3,40132168223,400112
4,13,216829,1,40132168291,400112
4,13,216829,2,40132168292,400112
4,13,216829,3,40132168293,400112
4,13,216829,4,40132168294,400112
4,13,216840,1,40132168401,400112
4,13,216840,2,40132168402,400112
4,13,216840,3,40132168403,400112
4,13,216841,1,40132168411,400112
4,13,216841,2,40132168412,400112
4,13,216842,1,40132168421,400112
4,13,216842,2,40132168422,400112
4,13,216843,1,40132168431,400112
4,13,216843,2,40132168432,400112
4,13,216843,3,40132168433,400112
4,13,216844,1,40132168441,400112
4,13,216844,2,40132168442,400112
4,13,216845,1,40132168451,400112
4,13,216845,2,40132168452,400112
4,13,216851,1,40132168511,400112
4,13,216851,2,40132168512,400112
4,13,216851,3,40132168513,400112
4,13,216851,4,40132168514,400112
4,13,216854,1,40132168541,400112
4,13,216854,2,40132168542,400112
4,13,216855,1,40132168551,400112
4,13,216855,2,40132168552,400112
4,13,610700,2,40136107002,400112
4,13,613000,3,40136130003,400112
4,13,613100,1,40136131001,400112
4,13,613100,2,40136131002,400112
4,13,613100,3,40136131003,400112
4,13,613200,1,40136132001,400112
4,13,613200,2,40136132002,400112
4,13,613200,3,40136132003,400112
4,13,319710,1,40133197101,400118
4,13,116612,3,40131166123,400119
4,13,116607,2,40131166072,400119
4,13,116611,2,40131166112,400121
4,13,83000,1,40130830001,400121
4,13,83000,2,40130830002,400121
4,13,83000,3,40130830003,400121
4,13,83000,4,40130830004,400121
4,13,83000,5,40130830005,400121
4,13,112514,2,40131125142,400121
4,13,112518,2,40131125182,400121
4,13,115500,1,40131155001,400121
4,13,115500,2,40131155002,400121
4,13,116619,1,40131166191,400121
4,13,116620,1,40131166201,400121
4,13,116620,3,40131166203,400121
4,13,116620,5,40131166205,400121
4,13,40532,1,40130405321,400129
4,13,610001,1,40136100011,400129
4,13,610002,1,40136100021,400129
4,13,610002,3,40136100023,400129
4,13,610002,4,40136100024,400129
4,13,610100,1,40136101001,400129
4,13,610201,1,40136102011,400129
4,13,610201,2,40136102012,400129
4,13,610202,1,40136102021,400129
4,13,610202,2,40136102022,400129
4,13,610202,3,40136102023,400129
4,13,610301,1,40136103011,400129
4,13,610301,2,40136103012,400129
4,13,610302,1,40136103021,400129
4,13,610302,2,40136103022,400129
4,13,610400,1,40136104001,400129
4,13,610400,2,40136104002,400129
4,13,610400,3,40136104003,400129
4,13,610400,4,40136104004,400129
4,13,610500,1,40136105001,400129
4,13,610500,2,40136105002,400129
4,13,610500,3,40136105003,400129
4,13,610500,4,40136105004,400129
4,13,610800,1,40136108001,400129
4,13,610800,2,40136108002,400129
4,13,610800,3,40136108003,400129
4,13,610901,1,40136109011,400129
4,13,610901,2,40136109012,400129
4,13,610901,3,40136109013,400129
4,13,610902,1,40136109021,400129
4,13,610902,2,40136109022,400129
4,13,610903,1,40136109031,400129
4,13,611000,1,40136110001,400129
4,13,611100,1,40136111001,400129
4,13,611100,2,40136111002,400129
4,13,611200,1,40136112001,400129
4,13,611200,2,40136112002,400129
4,13,611200,3,40136112003,400129
4,13,611200,4,40136112004,400129
4,13,613400,1,40136134001,400129
4,13,613400,2,40136134002,400129
4,13,613500,1,40136135001,400129
4,13,613500,2,40136135002,400129
4,13,613500,3,40136135003,400129
4,13,613601,1,40136136011,400129
4,13,613601,2,40136136012,400129
4,13,613601,3,40136136013,400129
4,13,613602,1,40136136021,400129
4,13,613602,2,40136136022,400129
4,13,613700,2,40136137002,400129
4,13,613800,1,40136138001,400129
4,13,613900,1,40136139001,400129
4,13,614000,3,40136140003,400129
4,13,615300,1,40136153001,400129
4,13,617400,2,40136174002,400129