GEO_ID,30_50_ami,50_80_ami,80_100_ami,o100_ami,u30_ami,tot,u50_sh
0400112,3262,5273,3361,42947,3414,58257,0.114595671
0400113,4295,5104,3508,27466,2759,43132,0.163544468
0400114,5099,8464,5079,22985,5965,47592,0.232476046
0400115,7029,10452,4252,17116,5213,44062,0.277835777
0400116,6299,9314,5983,22964,6115,50675,0.244972866
0400117,3917,8302,4670,26538,4592,48019,0.177200691
0400118,6608,8397,6384,18684,9326,49399,0.322557137
0400119,3851,6475,3314,15335,6458,35433,0.290943471
0400120,1775,5302,3024,28714,4052,42867,0.135932069
0400121,4842,10122,5456,17566,5787,43773,0.242820917
0400122,5465,7615,3693,9545,5119,31437,0.336673347
0400123,4819,10064,4547,10205,5519,35154,0.294077488
0400125,5313,9117,3774,16222,6756,41182,0.293064931
0400128,4343,4095,4199,26440,3599,42676,0.186099916
0400129,2505,5940,3247,37806,3082,52580,0.106257132