puma,can_tot,cant_tot,can_buy,cant_buy
400112,57392,490335,0.104782127,0.895217873
400113,101416,446311,0.185157935,0.814842065
400114,192405,355322,0.351279013,0.648720987
400115,210795,336932,0.384854134,0.615145866
400116,196687,351040,0.359096776,0.640903224
400117,127243,420484,0.232310987,0.767689013
400118,211437,336290,0.38602625,0.61397375
400119,224156,323571,0.409247673,0.590752327
400120,143690,404037,0.26233872,0.73766128
400121,205806,341921,0.375745581,0.624254419
400122,294243,253484,0.537207404,0.462792596
400123,262869,284858,0.479927044,0.520072956
400125,244320,303407,0.446061633,0.553938367
400128,189243,358484,0.345506064,0.654493936
400129,109885,437842,0.200620017,0.799379983