geoid,puma,SF_MedRent_2Bed,MF_MedRent_2Bed,SF_CanAff,SF_CantAff,SF_CanAff_pct,SF_CantAff_pct,MF_CanAff,MF_CantAff,MF_CanAff_pct,MF_CantAff_pct
400112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA",2350,2398,34351,207879,0.14,0.86,35602,206628,0.15,0.85
400113,Phoenix City (Northeast) PUMA,1800,1809,59794,182436,0.25,0.75,60028,182202,0.25,0.75
400114,Phoenix City (Northeast Central) PUMA,1495,1465,82398,159832,0.34,0.66,81036,161194,0.33,0.67
400115,Phoenix City (Northwest Central) PUMA,1397.5,1389,88514,153716,0.37,0.63,88417,153813,0.37,0.63
400116,Phoenix City (Uptown) PUMA,1375,1236,102869,139361,0.42,0.58,90179,152051,0.37,0.63
400117,Phoenix City (East) PUMA,1650,1433,86197,156033,0.36,0.64,70741,171489,0.29,0.71
400118,Phoenix City--Downtown & Sky Harbor International Airport PUMA,1662.5,1529,78654,163576,0.32,0.68,69468,172762,0.29,0.71
400119,Phoenix City (South) PUMA,1237.5,1106,117456,124774,0.48,0.52,102869,139361,0.42,0.58
400120,Phoenix City--Ahwatukee & South Mountain PUMA,1625,1725,65413,176817,0.27,0.73,71921,170309,0.30,0.70
400121,Phoenix (Southwest) & Tolleson Cities PUMA,1275,1353,91028,151202,0.38,0.62,100366,141864,0.41,0.59
400122,Phoenix City--Maryvale (East) PUMA,1195,1134,111700,130530,0.46,0.54,106761,135469,0.44,0.56
400123,Phoenix City--Maryvale (West) PUMA,1195,1490,81156,161074,0.34,0.66,106761,135469,0.44,0.56
400125,Phoenix City (West) PUMA,1199,1211,105161,137069,0.43,0.57,106680,135550,0.44,0.56
400128,Phoenix City (North) PUMA,1450,1579,73949,168281,0.31,0.69,85800,156430,0.35,0.65
400129,Phoenix (Far North) & Peoria (Northwest) Cities PUMA,1725,1760,63722,178508,0.26,0.74,65413,176817,0.27,0.73
,,,,,,,,,,,