puma,Can,Cannot,Can,Cannot
0400113," 155,986 "," 391,741 ",0.28478786,0.71521214
0400114," 212,093 "," 335,634 ",0.387223927,0.612776073
0400115," 230,761 "," 316,966 ",0.4213066,0.5786934
0400116," 212,093 "," 335,634 ",0.387223927,0.612776073
0400117," 147,922 "," 399,805 ",0.270065197,0.729934803
0400118," 212,093 "," 335,634 ",0.387223927,0.612776073
0400119," 221,526 "," 326,201 ",0.404446011,0.595553989
0400120," 212,093 "," 335,634 ",0.387223927,0.612776073
0400121," 221,526 "," 326,201 ",0.404446011,0.595553989
0400122," 276,731 "," 270,996 ",0.505235272,0.494764728
0400123," 246,981 "," 300,746 ",0.450919893,0.549080107
0400125," 257,880 "," 289,847 ",0.470818492,0.529181508
0400128," 221,526 "," 326,201 ",0.404446011,0.595553989
0400129," 188,769 "," 358,958 ",0.34464067,0.65535933
0400112," 112,966 "," 434,761 ",0.206245082,0.793754918