geoid,Y18,Y19,Y20,Y21,Y22,Y23,Y2123_avg,Htot,PctTot,PerCap,PerCapO
400112,10782,10840,10711,10707,10680,10694,10694,58257,18%,184,232
400113,3885,4124,4022,4015,4144,4358,4172,43131,10%,97,137
400114,3689,3164,3032,2994,3138,3237,3123,47592,7%,66,112
400115,2461,2070,2049,2102,2270,2361,2244,44062,5%,51,94
400116,2843,2730,2788,2926,2939,2956,2940,50675,6%,58,137
400117,3551,3555,3522,3550,3583,3512,3548,48019,7%,74,146
400118,2837,2686,2720,2594,2613,2928,2712,49399,5%,55,177
400119,2005,1914,1893,1903,2067,2332,2101,35433,6%,59,89
400120,3859,3759,3616,3601,3635,3625,3620,42867,8%,84,119
400121,3869,3764,3828,3834,4058,4391,4094,43773,9%,94,125
400122,1767,1675,1597,1539,1555,1671,1588,31437,5%,51,93
400123,2396,2335,2261,2201,2276,2415,2297,35154,7%,65,112
400125,2068,2027,1970,2032,2169,2341,2181,41183,5%,53,87
400128,2215,2282,2242,2268,2442,2508,2406,42676,6%,56,79
400129,3528,3454,3345,3295,3380,3452,3376,52580,6%,64,78