name,H_Occ,H_Tot,H_Vac,P_18p,P_Asian,P_Black,P_Hisp,P_NonHisp,P_Other,P_Tot,P_Two,P_White,Hou_10E,Hou_O_10E,Hou_V_10E,P_As_10E,P_Bl_10E,P_Hi_10E,P_Ot_10E,P_Wh_10E,Pop_10E,Hou_20E,Hou_O_20E,Hou_V_20E,P_As_20E,P_Bl_20E,P_Hi_20E,P_Ot_20E,P_Wh_20E,Pop_20E
US,105480101,115904641,10424540,209128094,10123169,33947837,35305818,246116088,2890162,281421906,4602146,194552774,131704730,116716292,14988438,14465124,37685848,50477594,9299420,196817552,308745538,140498736,126817580,13681156,19618719,39940338,62080044,18112533,191697647,331449281
Maricopa,1132886,1250231,117345,2244146,64562,108521,763341,2308808,53514,3072149,47681,2034530,1639279,1411583,227696,128301,177490,1128741,142530,2240055,3817117,1812827,1643579,169248,197910,245239,1351415,268433,2357571,4420568
AZ,1901327,2189189,287862,3763685,89315,149941,1295617,3835015,245129,5130632,76372,3274258,2844526,2380990,463536,170509,239101,1895149,391611,3695647,6392017,3082000,2705878,376122,248837,317161,2192253,576704,3816547,7151502
San Antonio,405474,433122,27648,817989,17084,74778,671394,473252,4512,1144646,12521,364357,524246,479642,44604,30596,83365,838952,21388,353106,1327407,592430,538253,54177,45491,93810,916010,43501,335813,1434625
Houston,717945,782009,64064,1416973,102706,487851,730865,1222766,6528,1953631,23830,601851,892646,782643,110003,124859,485956,919668,31067,537901,2099451,998195,896482,101713,165189,509479,1013423,70500,545989,2304580
Jacksonville,284499,308826,24327,539278,20165,211252,30594,705023,4036,735617,12092,457478,366273,323106,43167,34731,247516,63485,23527,452525,821784,411541,378587,32954,47821,284328,110081,53586,453795,949611
Tucson,192891,209609,16718,367082,11537,19795,173868,312831,9108,486699,8643,263748,229762,205390,24372,14211,23362,216308,20912,245323,520116,242798,223270,19528,16336,27702,228878,32876,236837,542629
Albuquerque,183236,198465,15229,338515,9689,12376,179075,269532,15834,448607,7738,223895,239166,224330,14836,13674,14878,255055,32312,229933,545852,254635,237826,16809,18041,16649,269238,47665,212966,564559
Indianapolis,324342,356980,32638,588721,11167,199096,30759,761167,3486,791926,10922,536496,384414,336186,48228,17114,224352,77780,22234,488238,829718,402518,365646,36872,37738,246734,116844,44532,451193,897041
Avondale,10640,11419,779,23595,654,1748,16589,19294,322,35883,611,15959,27001,23386,3615,2532,6643,38340,2765,25958,76238,29084,27382,1702,3445,8272,49678,4812,23127,89334
Buckeye,2158,2344,186,4330,24,215,2396,4141,90,6537,64,3748,18207,14424,3783,849,3412,19489,1751,25375,50876,30860,27781,3079,1435,6187,35637,5172,43071,91502
Carefree,1389,1769,380,2554,13,6,78,2849,0,2927,14,2816,2251,1654,597,55,17,98,48,3145,3363,2536,1811,725,38,31,166,87,3368,3690
Cave Creek,1571,1753,182,2949,15,11,263,3465,9,3728,26,3404,2579,2150,429,39,29,408,83,4456,5015,2739,2279,460,64,13,357,200,4258,4892
Chandler,62377,66592,4215,123956,7345,5821,37059,139522,2151,176581,3037,121168,94404,86924,7480,19119,10580,51808,8892,145724,236123,108388,102543,5845,32710,15564,62257,18337,147119,275987
El Mirage,2121,3162,1041,4808,27,246,5084,2525,55,7609,100,2097,11326,9416,1910,464,1926,15120,1124,13163,31797,11481,10551,930,652,2406,17666,2103,12978,35805
Fountain Hills,8653,10491,1838,16486,176,118,618,19617,105,20235,163,19055,13167,10339,2828,403,210,925,382,20569,22489,13883,11482,2401,550,265,1242,887,20876,23820
Gila Bend,659,766,107,1328,7,23,1042,938,175,1980,46,687,943,664,279,9,31,1257,121,504,1922,715,629,86,14,7,1369,135,367,1892
Gilbert,35405,37007,1602,72215,3863,2515,13026,96671,790,109697,1906,87597,74907,69372,5535,11877,6606,31074,6966,151930,208453,93230,88896,4334,17690,9601,45132,16824,178671,267918
Glendale,75700,79667,3967,152950,5860,9818,54343,164469,2979,218812,4350,141462,90505,79114,11391,8618,12766,80501,7970,116866,226721,91912,86483,5429,11272,17872,97617,13869,107695,248325
Goodyear,6179,6771,592,14713,315,962,3933,14978,207,18911,288,13206,25027,21491,3536,2729,4132,18136,2214,38064,65275,36205,32452,3753,3763,6876,29300,5607,49748,95294
Guadalupe,1110,1184,74,3285,3,34,3782,1446,1288,5228,45,76,1376,1292,84,0,65,3437,1888,133,5523,1457,1395,62,42,123,3124,1835,198,5322
Litchfield Park,1508,1633,125,2909,109,48,209,3601,25,3810,42,3377,2716,2263,453,222,186,846,151,4071,5476,2991,2618,373,306,227,1271,364,4679,6847
Mesa,146643,175701,29058,287998,5755,9377,78281,318094,6730,396375,6052,290180,201173,165374,35799,8174,14101,115753,18508,282505,439041,220082,191469,28613,12725,19819,137490,33722,300502,504258
New River,3921,4514,593,7948,48,45,521,10219,79,10740,115,9932,6273,5616,657,140,73,991,280,13468,14952,6942,6401,541,168,121,1514,771,14716,17290
Paradise Valley,5034,5499,465,10267,275,96,364,13300,45,13664,118,12766,5643,4860,783,516,83,479,222,11520,12820,5728,4752,976,976,71,693,578,10340,12658
Peoria,39184,42573,3389,77623,1992,2887,16699,91665,798,108364,1618,84370,64818,57457,7361,4832,4904,28629,4458,111242,154065,76546,70111,6435,8557,7028,38811,10289,126300,190985
Phoenix,465834,495832,29998,938610,25453,63756,449972,871073,24313,1321045,20707,736844,590149,514806,75343,43894,86788,589877,52500,672573,1445632,630752,583009,47743,63996,118527,661574,92291,671751,1608139
Queen Creek,1218,1281,63,2788,14,14,1294,3022,26,4316,47,2921,8557,7720,837,709,841,4566,729,19516,26361,19628,17965,1663,1430,1875,9636,3376,43202,59519
Rio Verde,761,1168,407,1418,2,0,4,1415,1,1419,1,1411,1647,1001,646,7,3,8,2,1791,1811,1676,1215,461,2,3,31,48,2126,2210
Scottsdale,90669,104974,14305,163540,3919,2398,14111,188594,1409,202705,2406,178462,124001,101273,22728,7128,3484,19225,5537,182011,217385,136490,114950,21540,11949,4601,23533,11768,189510,241361
Sun City,23490,27731,4241,38142,115,193,383,37926,57,38309,141,37420,28169,23167,5002,237,520,1034,299,35409,37499,28344,24468,3876,425,723,1791,1003,35989,39931
Sun City West,14997,17359,2362,26318,95,129,154,26190,25,26344,69,25872,18218,14873,3345,145,194,300,147,23749,24535,18332,15506,2826,208,225,553,498,24322,25806
Sun Lakes,6683,7746,1063,11916,37,93,112,11824,19,11936,33,11642,10028,8218,1810,118,169,249,88,13351,13975,10222,8772,1450,186,182,386,278,13836,14868
Surprise,12484,16260,3776,24713,321,744,7184,23664,128,30848,335,22136,52586,43272,9314,2884,5648,21724,3584,83677,117517,58831,52309,6522,3771,7404,28373,8744,94856,143148
Tempe,63602,67068,3466,127144,7405,5546,28473,130152,3347,158625,3337,110517,73462,66000,7462,9035,9021,34092,8860,100711,161719,82626,75530,7096,17169,11393,39698,14676,97651,180587
Tolleson,1432,1485,53,3360,14,58,3878,1096,37,4974,42,945,2169,1959,210,53,377,5241,155,719,6545,2294,2173,121,97,500,5712,195,712,7216
Wickenburg,2341,2691,350,4069,19,14,560,4522,66,5082,63,4360,3619,2909,710,32,15,854,138,5324,6363,4499,3634,865,43,54,971,351,6055,7474
Youngtown,1641,1783,142,2711,17,40,383,2627,21,3010,23,2526,2831,2470,361,156,226,2031,142,3601,6156,2724,2605,119,173,297,2800,386,3400,7056
